timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781303321454,4,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303321458,4,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303321463,4,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303321468,4,BorrowBookRequest,404,Not Found,Thread Group 1-15,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303321674,6,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,289,219,1,1,http://localhost:5133/api/loans,6,0,1
1781303321681,8,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,219,1,1,http://localhost:5133/api/loans,8,0,0
1781303321689,6,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303321695,5,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303321700,6,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303321706,5,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,289,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303321711,5,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303321717,6,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303321724,5,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,218,1,1,http://localhost:5133/api/loans,5,0,0
1781303321729,5,BorrowBookRequest,404,Not Found,Thread Group 1-16,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303321922,6,BorrowBookRequest,404,Not Found,Thread Group 1-17,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,1
1781303321929,8,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-17,text,false,,326,218,1,1,http://localhost:5133/api/loans,8,0,0
